idV,idC,asignado,distancia
1,20,1,0.337665136574257
2,18,1,0.200021885794582
3,14,1,0.0166248919342843
4,25,1,0.108084509238038
5,9,1,1.56851582413295
6,9,1,0.282690278138026
7,10,1,0.308908129518879
8,25,1,0.0851274916849609
9,30,1,0.338082904449479
10,27,1,0.193841995775575
11,3,1,0.280375755004597
12,4,1,0.212134162882992
13,24,1,0.184763813181767
14,9,1,0.640991332601377
15,9,1,0.557172987773967
16,16,1,0.0724820101402189
17,1,1,0.590475919502956
18,8,1,0.26699611770938
19,12,1,0.188049314976603
20,12,1,0.323966553407048
21,3,1,0.335541489289837
22,3,1,0.388399880374083
23,3,1,0.0960331031417576
24,9,1,1.78683549942596
25,9,1,0.36253871104723
26,16,1,0.127037617508843
27,20,1,0.393961577799513
28,12,1,0.0759994005192354
29,10,1,0.25941300156364
30,9,1,0.462995294854801
31,9,1,2.01227404955967
32,1,1,0.576409688067529
33,28,1,0.261488216907869
34,12,1,0.0608612205165193
35,9,1,0.612442212412957
36,20,1,0.098097973734759
37,29,1,0.198576931951947
38,9,1,0.201811392336354
39,3,1,0.167030607068556
40,4,1,0.0655551379056802
41,8,1,1.33062836942304
42,20,1,0.309030434229855
43,20,1,0.344587808604988
44,9,1,0.062012371819855
45,8,1,1.43403371725381
46,9,1,1.19993180793228
47,9,1,0.365250388418712
48,1,1,0.821742347110543
49,9,1,0.5873001785278
50,9,1,0.260852005106528
51,16,1,0.1148650096735
52,9,1,0.284112766607082
53,9,1,0.186624808502947
54,8,1,0.963617044500641
55,12,1,0.0984392663995444
56,4,1,0.187013611583515
57,10,1,0.226095467484297
58,4,1,0.057700375774415
59,20,1,0.247862435588401
60,3,1,0.174710961927109
61,9,1,0.24240926600751
62,1,1,0.27936578191815
63,7,1,0.174538740280636
64,9,1,0.534007694016827
65,9,1,0.246148187143643
66,8,1,0.271428706310759
67,16,1,0.255990923776335
68,9,1,0.499644217012279
69,8,1,1.21274115019761
70,8,1,0.162519658122093
71,3,1,0.375302245090754
72,15,1,0.120752322144942
73,14,1,0.20485863718686
74,9,1,1.88528887038072
75,9,1,0.675075656250263
76,25,1,0.115120792294553
77,22,1,0.0861909342013836
78,16,1,0.244033973099016
79,27,1,0.20548502253412
80,9,1,0.242863986464021
81,25,1,0.105144637516627
82,28,1,0.183269043870159
83,15,1,0.152579503563213
84,16,1,0.191911833353447
85,9,1,1.25688534722187
86,20,1,0.371484578691145
87,1,1,1.04147750277314
88,9,1,0.467712743779059
89,28,1,0.364122903677738
90,28,1,0.278991032162269
91,28,1,0.475365868720753
92,9,1,0.839160644484646
93,9,1,1.73201936956419
94,9,1,1.70358126370284
95,9,1,1.37233976547803
96,9,1,0.409841274889051
97,14,1,0.286981758137826
98,12,1,0.0539051188901979
99,9,1,1.42417541632063
100,9,1,1.46733770973991
101,24,1,0.207219577450145
102,9,1,1.36629239980129
103,22,1,0.248967247532231
104,22,1,0.177849210062952
105,14,1,0.314599062191187
106,22,1,0.171196687740441
107,3,1,0.368685297001855
108,14,1,0.304821788982099
109,14,1,0.260287579929598
